time, ball_x, ball_y, lever_angle
1.376891136169433594e-02, 6.000000000000000000e+02, 3.030000000000000000e+02, -2.434734306532089665e+00
1.117486953735351562e-01, 6.000000000000000000e+02, 3.020000000000000000e+02, -3.141592653589793307e-03
1.510038375854492188e-01, 6.000000000000000000e+02, 3.060000000000000000e+02, -3.141592653589793307e-03
1.797368526458740234e-01, 5.990000000000000000e+02, 3.070000000000000000e+02, 1.727875959474385950e-02
2.093129158020019531e-01, 5.990000000000000000e+02, 3.070000000000000000e+02, 9.581857593448868393e-02
2.398409843444824219e-01, 5.990000000000000000e+02, 3.070000000000000000e+02, 9.424777960769378793e-02
2.717959880828857422e-01, 5.980000000000000000e+02, 3.090000000000000000e+02, 8.953539062730911380e-02
3.039066791534423828e-01, 5.950000000000000000e+02, 3.090000000000000000e+02, 8.639379797371930791e-02
3.356359004974365234e-01, 5.900000000000000000e+02, 3.100000000000000000e+02, 8.639379797371930791e-02
3.677666187286376953e-01, 5.820000000000000000e+02, 3.100000000000000000e+02, 8.639379797371930791e-02
4.002847671508789062e-01, 5.730000000000000000e+02, 3.100000000000000000e+02, 8.639379797371930791e-02
4.474999904632568359e-01, 5.670000000000000000e+02, 3.120000000000000000e+02, 8.639379797371930791e-02
4.800088405609130859e-01, 5.480000000000000000e+02, 3.130000000000000000e+02, 8.639379797371930791e-02
5.118148326873779297e-01, 5.320000000000000000e+02, 3.140000000000000000e+02, 8.639379797371930791e-02
5.438568592071533203e-01, 5.150000000000000000e+02, 3.150000000000000000e+02, 8.639379797371930791e-02
5.761406421661376953e-01, 4.940000000000000000e+02, 3.160000000000000000e+02, 8.796459430051420392e-02
6.081337928771972656e-01, 4.720000000000000000e+02, 3.170000000000000000e+02, 1.115265392024376440e-01
6.395866870880126953e-01, 4.470000000000000000e+02, 3.180000000000000000e+02, 1.225221134900019299e-01
6.714468002319335938e-01, 4.190000000000000000e+02, 3.240000000000000000e+02, 1.240929098167968259e-01
7.040367126464843750e-01, 3.900000000000000000e+02, 3.300000000000000000e+02, 1.240929098167968259e-01
7.352697849273681641e-01, 3.600000000000000000e+02, 3.340000000000000000e+02, 1.240929098167968259e-01
7.679538726806640625e-01, 3.300000000000000000e+02, 3.360000000000000000e+02, 1.240929098167968259e-01
8.046929836273193359e-01, 2.960000000000000000e+02, 3.380000000000000000e+02, 1.240929098167968259e-01
8.324279785156250000e-01, 2.570000000000000000e+02, 3.410000000000000000e+02, 1.256637061435917357e-01
8.643028736114501953e-01, 2.590000000000000000e+02, 3.400000000000000000e+02, 1.665044106402590318e-01
8.958508968353271484e-01, 2.550000000000000000e+02, 3.400000000000000000e+02, 1.869247628885926937e-01
